length,x,y,start,end,split_x,split_y
5,abaci,abaft,4,5,ci,ft
5,abaci,abase,4,5,ci,se
5,abaci,abash,4,5,ci,sh
5,abaci,abate,4,5,ci,te
5,aback,abaft,4,5,ck,ft
5,aback,abase,4,5,ck,se
5,aback,abash,4,5,ck,sh
5,aback,abate,4,5,ck,te
5,aback,amuck,2,3,ba,mu
5,aback,black,1,2,ab,bl
5,aback,clack,1,2,ab,cl
5,aback,crack,1,2,ab,cr
5,aback,flack,1,2,ab,fl
5,aback,frack,1,2,ab,fr
5,aback,knack,1,2,ab,kn
5,aback,quack,1,2,ab,qu
5,aback,shack,1,2,ab,sh
5,aback,slack,1,2,ab,sl
5,aback,smack,1,2,ab,sm
5,aback,snack,1,2,ab,sn
5,aback,stack,1,2,ab,st
5,aback,track,1,2,ab,tr
5,aback,whack,1,2,ab,wh
5,aback,wrack,1,2,ab,wr
6,abacus,abases,4,5,cu,se
6,abacus,abates,4,5,cu,te
5,abaft,abase,4,5,ft,se
5,abaft,abash,4,5,ft,sh
5,abaft,abate,4,5,ft,te
5,abaft,abbot,3,4,af,bo
5,abaft,abort,3,4,af,or
5,abaft,about,3,4,af,ou
5,abaft,aloft,2,3,ba,lo
5,abaft,craft,1,2,ab,cr
5,abaft,draft,1,2,ab,dr
5,abaft,graft,1,2,ab,gr
5,abaft,shaft,1,2,ab,sh
5,abase,abide,3,4,as,id
5,abase,abode,3,4,as,od
5,abase,above,3,4,as,ov
5,abase,amuse,2,3,ba,mu
5,abase,anise,2,3,ba,ni
5,abase,arise,2,3,ba,ri
5,abase,arose,2,3,ba,ro
5,abase,cease,1,2,ab,ce
5,abase,chase,1,2,ab,ch
5,abase,erase,1,2,ab,er
5,abase,lease,1,2,ab,le
5,abase,pease,1,2,ab,pe
5,abase,phase,1,2,ab,ph
5,abase,tease,1,2,ab,te
6,abased,abided,3,4,as,id
6,abased,amused,2,3,ba,mu
6,abased,biased,1,2,ab,bi
6,abased,ceased,1,2,ab,ce
6,abased,chased,1,2,ab,ch
6,abased,erased,1,2,ab,er
6,abased,leased,1,2,ab,le
6,abased,phased,1,2,ab,ph
6,abased,teased,1,2,ab,te
9,abasement,amusement,2,3,ba,mu
6,abases,abides,3,4,as,id
6,abases,abodes,3,4,as,od
6,abases,amuses,2,3,ba,mu
6,abases,anuses,2,3,ba,nu
6,abases,arises,2,3,ba,ri
